bytes,ratio (%),filename: [C:\Users\jeanf\.julia\packages\,linenumber
106718624,34.72,LocalSearchSolvers\hWvVd\src\solver.jl,227
83898112,27.3,LocalSearchSolvers\hWvVd\src\solver.jl,225
38891728,12.65,LocalSearchSolvers\hWvVd\src\utils.jl,27
37319392,12.14,LocalSearchSolvers\hWvVd\src\solver.jl,435
16779632,5.46,LocalSearchSolvers\hWvVd\src\solver.jl,224
7317888,2.38,LocalSearchSolvers\hWvVd\src\solver.jl,412
3236640,1.05,Constraints\9vKsa\src\compositions\icn_all_different.jl,2
2693152,0.88,LocalSearchSolvers\hWvVd\src\solver.jl,434
2504928,0.81,LocalSearchSolvers\hWvVd\src\solver.jl,407
1397648,0.45,LocalSearchSolvers\hWvVd\src\solver.jl,239
1089648,0.35,LocalSearchSolvers\hWvVd\src\solver.jl,419
862544,0.28,LocalSearchSolvers\hWvVd\src\solver.jl,244
765440,0.25,LocalSearchSolvers\hWvVd\src\solver.jl,424
449856,0.15,LocalSearchSolvers\hWvVd\src\solver.jl,414
445536,0.14,LocalSearchSolvers\hWvVd\src\solver.jl,302
384736,0.13,LocalSearchSolvers\hWvVd\src\solver.jl,436
379328,0.12,LocalSearchSolvers\hWvVd\src\solver.jl,439
215744,0.07,LocalSearchSolvers\hWvVd\src\solver.jl,274
192576,0.06,LocalSearchSolvers\hWvVd\src\solver.jl,417
180768,0.06,LocalSearchSolvers\hWvVd\src\solver.jl,406
171664,0.06,LocalSearchSolvers\hWvVd\src\solver.jl,555
170000,0.06,LocalSearchSolvers\hWvVd\src\solver.jl,452
103296,0.03,LocalSearchSolvers\hWvVd\src\solver.jl,403
101552,0.03,LocalSearchSolvers\hWvVd\src\solver.jl,479
101376,0.03,LocalSearchSolvers\hWvVd\src\solver.jl,215
86528,0.03,LocalSearchSolvers\hWvVd\src\utils.jl,17
82688,0.03,LocalSearchSolvers\hWvVd\src\utils.jl,19
80368,0.03,LocalSearchSolvers\hWvVd\src\solver.jl,237
72800,0.02,LocalSearchSolvers\hWvVd\src\solver.jl,297
70000,0.02,LocalSearchSolvers\hWvVd\src\solver.jl,387
63168,0.02,LocalSearchSolvers\hWvVd\src\solver.jl,422
50000,0.02,LocalSearchSolvers\hWvVd\src\solver.jl,471
49920,0.02,LocalSearchSolvers\hWvVd\src\solver.jl,378
40000,0.01,LocalSearchSolvers\hWvVd\src\utils.jl,13
39936,0.01,LocalSearchSolvers\hWvVd\src\solver.jl,557
30000,0.01,LocalSearchSolvers\hWvVd\src\solver.jl,470
30000,0.01,LocalSearchSolvers\hWvVd\src\solver.jl,467
25824,0.01,LocalSearchSolvers\hWvVd\src\solver.jl,408
25408,0.01,LocalSearchSolvers\hWvVd\src\solver.jl,441
25024,0.01,LocalSearchSolvers\hWvVd\src\constraint.jl,12
